
Data: 2019-04-09 21:13:20.690395
Valore accelerometro, giroscopio e magnetometro: 655C91FF7BFF080404000900030032FE8E00AAFE
		Timestamp: 23653
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -462
		Magny: 142
		Magnz: -342
Valore accelerometro, giroscopio e magnetometro: 6B5C91FF7BFF080404000900030034FE8700ACFE
		Timestamp: 23659
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -460
		Magny: 135
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: 715C91FF7BFF09040300090002002FFE8700AAFE
		Timestamp: 23665
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -465
		Magny: 135
		Magnz: -342
Valore accelerometro, giroscopio e magnetometro: 785C91FF7CFF08040400090002002FFE8500A4FE
		Timestamp: 23672
		Accx: -111
		Accy: -132
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -465
		Magny: 133
		Magnz: -348
Valore accelerometro, giroscopio e magnetometro: 7E5C90FF7BFF090404000900030032FE8800AFFE
		Timestamp: 23678
		Accx: -112
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -462
		Magny: 136
		Magnz: -337
Valore temperatura e pressione: 835CED860100ED00
		Timestamp: 23683
		Pressione: 1000.77 mbar
		Temperatura: 23.7 °C
Valore accelerometro, giroscopio e magnetometro: 845C91FF7CFF080404000900030028FE8500A3FE
		Timestamp: 23684
		Accx: -111
		Accy: -132
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -472
		Magny: 133
		Magnz: -349
Valore accelerometro, giroscopio e magnetometro: 8A5C91FF7CFF08040300090002002CFE8700A9FE
		Timestamp: 23690
		Accx: -111
		Accy: -132
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -468
		Magny: 135
		Magnz: -343
Valore accelerometro, giroscopio e magnetometro: 915C91FF7CFF080403000900030029FE8B00A4FE
		Timestamp: 23697
		Accx: -111
		Accy: -132
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -471
		Magny: 139
		Magnz: -348
Valore accelerometro, giroscopio e magnetometro: 975C90FF7BFF080404000900030031FE8B00ACFE
		Timestamp: 23703
		Accx: -112
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -463
		Magny: 139
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: 9D5C90FF7BFF090404000900020031FE8700A0FE
		Timestamp: 23709
		Accx: -112
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -463
		Magny: 135
		Magnz: -352
Valore accelerometro, giroscopio e magnetometro: A35C91FF7BFF080403000900020031FE8D009EFE
		Timestamp: 23715
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -463
		Magny: 141
		Magnz: -354
Valore accelerometro, giroscopio e magnetometro: AA5C91FF7BFF090403000900030029FE8800ACFE
		Timestamp: 23722
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -471
		Magny: 136
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: B05C91FF7BFF080404000900030032FE8800A9FE
		Timestamp: 23728
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -462
		Magny: 136
		Magnz: -343
Valore accelerometro, giroscopio e magnetometro: B65C91FF7BFF08040400090002002CFE8400A7FE
		Timestamp: 23734
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -468
		Magny: 132
		Magnz: -345
Valore accelerometro, giroscopio e magnetometro: BC5C90FF7BFF080404000900030031FE8700ADFE
		Timestamp: 23740
		Accx: -112
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -463
		Magny: 135
		Magnz: -339
Valore temperatura e pressione: C25CED860100ED00
		Timestamp: 23746
		Pressione: 1000.77 mbar
		Temperatura: 23.7 °C
Valore accelerometro, giroscopio e magnetometro: C35C91FF7CFF090404000900030029FE9300ACFE
		Timestamp: 23747
		Accx: -111
		Accy: -132
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -471
		Magny: 147
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: C95C91FF7BFF080404000900030025FE8400A6FE
		Timestamp: 23753
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -475
		Magny: 132
		Magnz: -346
Valore accelerometro, giroscopio e magnetometro: CF5C91FF7BFF090404000900020029FE8E00A7FE
		Timestamp: 23759
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.2
		Magnx: -471
		Magny: 142
		Magnz: -345
Valore accelerometro, giroscopio e magnetometro: D55C91FF7BFF090404000900030029FE8400A9FE
		Timestamp: 23765
		Accx: -111
		Accy: -133
		Accz: 1033
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -471
		Magny: 132
		Magnz: -343
Valore accelerometro, giroscopio e magnetometro: DC5C91FF7CFF08040400090003002BFE8500ACFE
		Timestamp: 23772
		Accx: -111
		Accy: -132
		Accz: 1032
		Gyrx: 0.4
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -469
		Magny: 133
		Magnz: -340
Valore accelerometro, giroscopio e magnetometro: E25C91FF7BFF080403000900030032FE8700A7FE
		Timestamp: 23778
		Accx: -111
		Accy: -133
		Accz: 1032
		Gyrx: 0.3
		Gyry: 0.9
		Gyrz: 0.3
		Magnx: -462
		Magny: 135
		Magnz: -345
Valore accelerometro, giroscopio e magnetometro: E85C91FF7CFF09040400090002002CFE8400ACFE
